SUBDIVISION,ANNUAL,LABELS
Andaman & Nicobar Islands,2933.91,0
Arunachal Pradesh,2488.06,0
Assam & Meghalaya,2363.91,0
Naga Mani Mizo Tripura,2053.11,0
Sub Himalayan West Bengal & Sikkim,2580.5,0
Gangetic West Bengal,1524.43,1
Orissa,1419.76,1
Jharkhand,1172.2,1
Bihar,1096.75,1
East Uttar Pradesh,786.05,2
West Uttar Pradesh,677.37,2
Uttarakhand,1428.68,1
Haryana Delhi & Chandigarh,460.05,2
Punjab,491.22,2
Himachal Pradesh,1077.21,1
Jammu & Kashmir,1065.81,1
West Rajasthan,317.77,2
East Rajasthan,626.45,2
West Madhya Pradesh,872.63,2
East Madhya Pradesh,1064.07,1
Gujarat,925.47,2
Saurashtra & Kutch,585.01,2
Konkan & Goa,3129.03,0
Madhya Maharashtra,914.47,2
Matathwada,736.46,2
Vidarbha,1048.71,1
Chhattisgarh,1251.65,1
Coastal Andhra Pradesh,1041.9,1
Telangana,944.8,2
Rayalseema,789.85,2
Tamil Nadu,870.95,2
Coastal Karnataka,3212.06,0
North Interior Karnataka,686.99,2
South Interior Karnataka,1057.03,1
Kerala,2786.92,0
Lakshadweep,1535.44,1
